"","ID","Release_number","interview_id","State","Family_comp_change","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","family_identifier","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,6,96,41,1,2001,49,1,47,1,10,4,1,1,310,628,0,5,1,142,857,5,30,10,23000,3000,1,180,5,2,220,6,1,3,5,0,8,1,3,5,0,0,1,9,10
"4",4,6,5987,41,0,2001,47,2,0,0,0,4,4,1,230,669,0,5,3,0,0,0,0,4,0,0,3,117,3,0,0,0,0,0,0,0,0,1,1,5,0,8,2,12,0
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,7091,41,0,2001,41,2,0,1,14,4,4,1,361,907,0,5,3,0,0,0,0,25,50000,0,2,160,8,0,0,0,0,0,0,0,0,1,1,5,0,8,2,12,0
"7",7,6,5964,41,1,2001,36,1,35,3,1,4,1,1,436,68,0,5,1,0,0,0,35,0,9999998,0,1,165,8,1,146,7,1,3,5,0,0,1,3,5,0,0,1,11,9
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,6,5479,41,5,2001,26,1,20,0,0,4,1,1,436,68,40,1,1,0,0,0,40,10,27000,0,3,185,7,3,135,3,1,3,5,0,8,1,1,5,0,8,8,12,11
"10",10,6,5665,15,1,2001,25,1,0,0,0,4,2,1,420,69,0,5,2,0,0,0,0,1,23000,0,2,140,6,0,0,0,0,0,0,0,0,1,3,5,0,8,2,10,0
"11",11,6,6754,41,0,2001,24,1,0,0,0,4,2,1,230,669,0,1,2,0,0,0,0,2,20000,0,2,214,0,0,0,0,0,0,0,0,0,1,1,1,1,8,2,13,0
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
