"","ID","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_edu","wf_edu","hd_change_in_marital_status"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,8,1392,41,0,4,2003,51,1,49,1,12,1,1,476,509,40,5,1,231,786,5,45,0,9999998,1500,1,175,6,5,250,6,1,3,5,0,8,1,3,5,0,0,9,10,1
"4",4,8,6278,41,0,4,2003,49,2,0,0,0,4,1,31,868,55,5,3,0,0,0,0,4,0,0,3,112,3,0,0,0,0,0,0,0,0,1,1,5,0,8,12,0,2
"5",5,8,4812,15,3,4,2003,45,2,0,0,0,4,1,413,868,40,5,3,0,0,0,0,14,15000,0,3,185,2,0,0,0,0,0,0,0,0,1,2,5,0,8,10,0,3
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,8,5536,41,1,4,2003,38,1,37,1,16,1,3,999,999,45,1,1,402,868,5,21,999,7794,9999999,9,999,99,2,165,7,1,3,5,0,0,1,3,5,0,0,11,9,1
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,8,6061,41,2,4,2003,28,1,0,0,0,5,1,952,77,0,5,2,0,0,0,0,4,28000,0,3,185,7,0,0,0,0,0,0,0,0,1,1,5,0,8,12,0,3
"10",10,8,5552,15,0,4,2003,27,1,0,0,0,2,1,624,77,30,5,2,0,0,0,0,8,25000,0,2,130,4,0,0,0,0,0,0,0,0,1,3,5,0,8,10,0,2
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
