Year_in_data,CPI_avg,relative_inflation
1985,103.9,1
1986,107.6,1.035611165
1987,109.6,1.054860443
1988,113.6,1.093358999
1989,118.3,1.138594803
1990,124,1.193455245
1991,130.7,1.257940327
1992,136.2,1.310875842
1993,140.3,1.350336862
1994,144.5,1.390760346
1995,148.2,1.426371511
1996,152.4,1.466794995
1997,156.9,1.510105871
1999,161.75,1.556785371
2001,169.4,1.630413859
2003,178.5,1.717998075
2005,186.45,1.794513956
2007,198.45,1.910009625
2009,211.3015,2.033700674
2011,216.2965,2.081775746
2013,227.2665,2.187358037
2015,234.8465,2.260312801
